科目ID,科目名,単位数,小区分ID
1,微分積分学Ⅰ,2,7
2,線形代数学Ⅰ,2,7
3,物理学基礎Ⅰ,2,7
4,工学概論,2,8
5,環境保全と防災,2,5
6,科学技術と生産,2,5
7,工学のための地球科学,2,5
8,環境生体センシング技術,2,5
9,計算機ハードウェア技術,2,5
10,エネルギー変換工学,2,5
11,工学材料の微小構造と性質,2,5
12,先端計測学,2,5
13,生命工学,2,5
14,核エネルギーと放射線の基礎とその利用,2,5
15,化学技術と工学,2,5
16,工学分野実験・演習(注),1,5
17,数理・データサイエンス基礎,2,6
18,微分積分学Ⅱ,2,4
19,線形代数学Ⅱ,2,4
20,物理学基礎 II,2,4
21,工学倫理,2,3
22,確率統計序論,1,1
23,プログラミング序論演習,2,1
24,応用数学Ⅰ,2,1
25,応用数学演習,1,1
26,プログラミング言語 及び演習,3,1
27,応用数学Ⅱ,2,1
28,応用数学Ⅱ演習,1,1
29,離散数学と論理回路,2,1
30,電気回路及び演習,2,1
31,情報・生体工学実験Ⅰ,1,1
32,エンジニアリテラシー,1,1
33,プログラミング言語Ⅱ及び演習,2,1
34,情報理論,2,1
35,電磁気学Ⅰ及び演習,2,1
36,情報・生体工学実験Ⅱ,1,1
37,情報セキュリティ,2,1
38,生体インターフェイス,2,1
39,工学英語Ⅰ,2,1
40,情報・生体工学実験Ⅲ,2,1
41,エンジニアリングデザイン,2,1
42,工学英語II,2,1
43,卒業研究,6,1
44,電気電子回路,2,2
45,計算機工学,2,2
46,アルゴリズムとデータ構造,2,2
47,プログラミング言語Ⅲ及び演習,2,2
48,数値解析プログラミング,2,2
49,機械学習のための数学,2,2
50,人工知知能,2,2
51,オペレーティングシステム論,2,2
52,ソフトウェア工学Ⅰ,2,2
53,電磁気学Ⅱ,2,2
54,生体機構学,2,2
55,プログラミング言語IV及び演習,2,2
56,計算機ネットワーク,2,2
57,ソフトウェア工学Ⅱ,2,2
58,メディア処理,2,2
59,画像情報処理,2,2
60,シミュレーション,2,2
61,生体情報工学,2,2
62,電気化学,2,2
63,データベース,2,2
64,工場見学,1,2
65,インターンシップ,1,2
66,情報・生体工学特別講義Ⅰ,1,2
67,情報・生体工学特別講義Ⅱ,1,2
